route_id	surface	step	control_or_row	expected_minimum	actual_spoken_output	pass_fail	notes
VO-01	App launch and sidebar	VO-01.1	Sidebar destination	Selected destination, readiness status, and disabled destination reason if any	<record actual spoken output during manual run>	<pass|pass_with_limitation|fail|not_run>	<notes>
VO-02	Prompt Studio editor	VO-02.1	Prompt editor	Editable text role, current value or empty state, and shortcut focus change announcements	<record actual spoken output during manual run>	<pass|pass_with_limitation|fail|not_run>	<notes>
VO-03	Prompt Studio run controls	VO-03.1	Run controls group	Provider, model, resolution, aspect, critic, references, no-spend, selected count, and unsupported states	<record actual spoken output during manual run>	<pass|pass_with_limitation|fail|not_run>	<notes>
VO-04	Prompt Studio Reference Examples	VO-04.1	Reference row and selection cap	Example id/title, visual intent, content summary, selected state, missing image state, and selection cap	<record actual spoken output during manual run>	<pass|pass_with_limitation|fail|not_run>	<notes>
VO-05	Reference Examples setup states	VO-05.1	Dataset status card	Missing, malformed, empty, and plot-manual-disabled state text plus setup action or reason	<record actual spoken output during manual run>	<pass|pass_with_limitation|fail|not_run>	<notes>
VO-06	Preflight sheet	VO-06.1	No-spend preflight sheet	Provider/model/credential/spend summary, Reveal, Cancel, Start, and focus return	<record actual spoken output during manual run>	<pass|pass_with_limitation|fail|not_run>	<notes>
VO-07	Artifact Library	VO-07.1	Artifact card or row	Artifact title/type/status, preview, metadata, Open, Reveal, Export, Copy, Favorite, and Refine actions	<record actual spoken output during manual run>	<pass|pass_with_limitation|fail|not_run>	<notes>
VO-08	Artifact Library disabled states	VO-08.1	Disabled image action	Disabled Export Image or Refine Image action plus reason while metadata actions remain reachable	<record actual spoken output during manual run>	<pass|pass_with_limitation|fail|not_run>	<notes>
VO-09	Run Details table	VO-09.1	Run row and selected summary	Run id, status, log, surface, linked provider calls, recovery candidates, and raw payload counts	<record actual spoken output during manual run>	<pass|pass_with_limitation|fail|not_run>	<notes>
VO-10	Provider Run Ledger	VO-10.1	Provider-call row and selected summary	Route, provider/model, status, usage/cost absence or presence, and failure reason	<record actual spoken output during manual run>	<pass|pass_with_limitation|fail|not_run>	<notes>
VO-11	Refine Image	VO-11.1	Refine workflow controls	Source image, style/instruction input, provider controls, preflight, disabled states, and result/error surfaces	<record actual spoken output during manual run>	<pass|pass_with_limitation|fail|not_run>	<notes>
VO-12	Settings Workspace	VO-12.1	Workspace settings	Repo path, readiness, backend status, reset/reveal controls, and lower Workspace content	<record actual spoken output during manual run>	<pass|pass_with_limitation|fail|not_run>	<notes>
VO-13	Settings Providers	VO-13.1	Provider settings	Provider configuration, Codex fallback, local route boundaries, unsupported Foundation Models status, and no secret exposure	<record actual spoken output during manual run>	<pass|pass_with_limitation|fail|not_run>	<notes>
VO-14	Settings Legacy	VO-14.1	Legacy settings	Legacy compatibility settings and absence of hosted key-entry guidance as a native secret path	<record actual spoken output during manual run>	<pass|pass_with_limitation|fail|not_run>	<notes>
VO-15	Loading, error, and recovery states	VO-15.1	Synthetic loading/error/recovery fixture	Progress, cancellation, retry/recover actions, failure descriptions, and recovery candidates	<record actual spoken output during manual run>	<pass|pass_with_limitation|fail|not_run>	<notes>
VO-16	Menus and shortcuts	VO-16.1	App menu and shortcuts	App menu, Settings, toolbar/menu actions, documented shortcuts, and labels free of stale legacy terms	<record actual spoken output during manual run>	<pass|pass_with_limitation|fail|not_run>	<notes>
