route_id	surface	step	start_focus	key_sequence	expected_end_focus	actual_end_focus	visible_focus_state	voiceover_focus_state	pass_fail	notes
VO-01	App launch and sidebar	VO-01.1	App launch	Tab / Shift-Tab / Arrow keys	Sidebar destination and selected-detail surface	<record actual ending focus during manual run>	<record visible focus state>	<record VoiceOver focus state>	<pass|pass_with_limitation|fail|not_run>	<notes>
VO-02	Prompt Studio editor	VO-02.1	Prompt editor	Command-Option-R / Command-Option-P	Editor to Run Controls and back to editor	<record actual ending focus during manual run>	<record visible focus state>	<record VoiceOver focus state>	<pass|pass_with_limitation|fail|not_run>	<notes>
VO-03	Prompt Studio run controls	VO-03.1	Run controls group	Tab / Space / Arrow keys	All run controls reachable without live provider start	<record actual ending focus during manual run>	<record visible focus state>	<record VoiceOver focus state>	<pass|pass_with_limitation|fail|not_run>	<notes>
VO-04	Prompt Studio Reference Examples	VO-04.1	Reference search or first row	Tab / Arrow keys / Space	Rows, search, selected state, missing image, and cap state reachable	<record actual ending focus during manual run>	<record visible focus state>	<record VoiceOver focus state>	<pass|pass_with_limitation|fail|not_run>	<notes>
VO-05	Reference Examples setup states	VO-05.1	Dataset status card	Tab / Space	Setup action or disabled reason reachable in every setup state	<record actual ending focus during manual run>	<record visible focus state>	<record VoiceOver focus state>	<pass|pass_with_limitation|fail|not_run>	<notes>
VO-06	Preflight sheet	VO-06.1	Open preflight sheet	Tab / Shift-Tab / Escape or Cancel	Cancel returns focus coherently without run creation	<record actual ending focus during manual run>	<record visible focus state>	<record VoiceOver focus state>	<pass|pass_with_limitation|fail|not_run>	<notes>
VO-07	Artifact Library	VO-07.1	Artifact list or card	Tab / Arrow keys / Menu key	Artifact metadata and action menu reachable	<record actual ending focus during manual run>	<record visible focus state>	<record VoiceOver focus state>	<pass|pass_with_limitation|fail|not_run>	<notes>
VO-08	Artifact Library disabled states	VO-08.1	Non-image or failed artifact	Tab / Menu key / Arrow keys	Disabled action reason reachable while valid metadata actions remain reachable	<record actual ending focus during manual run>	<record visible focus state>	<record VoiceOver focus state>	<pass|pass_with_limitation|fail|not_run>	<notes>
VO-09	Run Details table	VO-09.1	Run Details row	Tab / Arrow keys	Row and selected summary reachable for success, failure, cancellation, timeout, and recovery	<record actual ending focus during manual run>	<record visible focus state>	<record VoiceOver focus state>	<pass|pass_with_limitation|fail|not_run>	<notes>
VO-10	Provider Run Ledger	VO-10.1	Provider Ledger row	Tab / Arrow keys	Provider-call row and selected summary reachable for success and failure	<record actual ending focus during manual run>	<record visible focus state>	<record VoiceOver focus state>	<pass|pass_with_limitation|fail|not_run>	<notes>
VO-11	Refine Image	VO-11.1	Refine workflow controls	Tab / Space / Escape	Inputs, provider controls, preflight, disabled states, and error/result surfaces reachable	<record actual ending focus during manual run>	<record visible focus state>	<record VoiceOver focus state>	<pass|pass_with_limitation|fail|not_run>	<notes>
VO-12	Settings Workspace	VO-12.1	Workspace settings	Tab / Arrow keys	Upper and lower Workspace settings reachable at the recorded text size	<record actual ending focus during manual run>	<record visible focus state>	<record VoiceOver focus state>	<pass|pass_with_limitation|fail|not_run>	<notes>
VO-13	Settings Providers	VO-13.1	Provider settings	Tab / Arrow keys	Provider status, Codex fallback, local-route limits, and unsupported options reachable without secret exposure	<record actual ending focus during manual run>	<record visible focus state>	<record VoiceOver focus state>	<pass|pass_with_limitation|fail|not_run>	<notes>
VO-14	Settings Legacy	VO-14.1	Legacy settings	Tab / Arrow keys	Legacy compatibility controls reachable and no hosted key-entry guidance exposed	<record actual ending focus during manual run>	<record visible focus state>	<record VoiceOver focus state>	<pass|pass_with_limitation|fail|not_run>	<notes>
VO-15	Loading, error, and recovery states	VO-15.1	Synthetic loading/error/recovery fixture	Tab / Space / Escape	Progress, cancellation, retry/recover, and failure description paths reachable	<record actual ending focus during manual run>	<record visible focus state>	<record VoiceOver focus state>	<pass|pass_with_limitation|fail|not_run>	<notes>
VO-16	Menus and shortcuts	VO-16.1	Menu bar and toolbar	Command-, / menu traversal / documented shortcuts	Settings, toolbar/menu actions, and shortcuts reachable with clear labels	<record actual ending focus during manual run>	<record visible focus state>	<record VoiceOver focus state>	<pass|pass_with_limitation|fail|not_run>	<notes>
